INSERT INTO SINONIMOS VALUES("AVC", "acidente vascular cerebral");
INSERT INTO SINONIMOS VALUES("autoimunidade da doença de addison", "adrenalite");
INSERT INTO SINONIMOS VALUES("hipocortisolismo secundário", "supressão adrenal");
INSERT INTO SINONIMOS VALUES("deficiência de glicocorticóides com acalasia", "síndrome de allgrove");
INSERT INTO SINONIMOS VALUES("aclorídrica", "achylic");
INSERT INTO SINONIMOS VALUES("familiar", "idiopático crônico");
INSERT INTO SINONIMOS VALUES("granulócito anormalidade qualitativa", "disfunção de neutrófilos");
INSERT INTO SINONIMOS VALUES("deficiência de pré-calicreína", "traço de fletcher");
INSERT INTO SINONIMOS VALUES("Amigdalólito", "tonsilólito");
INSERT INTO SINONIMOS VALUES("pescoço anterior", "garganta");
INSERT INTO SINONIMOS VALUES("pulso do osso navicular", "escafóide");
INSERT INTO SINONIMOS VALUES("osso metacarpal do pescoço", "pugilista");
INSERT INTO SINONIMOS VALUES("mão de falange", "dedo");
INSERT INTO SINONIMOS VALUES("Vértebra cervical articular traumática", "pescoço");
INSERT INTO SINONIMOS VALUES("lesão por esmagamento", "preso");
INSERT INTO SINONIMOS VALUES("envenenamento", "intoxicação");
INSERT INTO SINONIMOS VALUES("bifenilo policlorado", "pcb");
INSERT INTO SINONIMOS VALUES("toxicose da slaframina", "slobbers");
INSERT INTO SINONIMOS VALUES("fugu", "baiacu");
INSERT INTO SINONIMOS VALUES("toxicodendron radicans", "Hera Venenosa");
INSERT INTO SINONIMOS VALUES("intoxicação por espécies de traquimeno", "bowie");
INSERT INTO SINONIMOS VALUES("doença mista", "polimicrobiano");
INSERT INTO SINONIMOS VALUES("ceratoconjuntivite infecciosa bovina", "ferrugem");
INSERT INTO SINONIMOS VALUES("infecção por clostridium novyi", "doença negra");
INSERT INTO SINONIMOS VALUES("laminite séptica", "abscesso do dedo do pé");
INSERT INTO SINONIMOS VALUES("síndrome de bannwarth", "doença de lyme neurológica");
INSERT INTO SINONIMOS VALUES("sicose", "foliculite");
INSERT INTO SINONIMOS VALUES("latum", "lata");
INSERT INTO SINONIMOS VALUES("reinfecção", "reativação");
INSERT INTO SINONIMOS VALUES("entérico", "gastroenterite");
INSERT INTO SINONIMOS VALUES("traqueobronquite canina infecciosa", "Tosse de canil");
INSERT INTO SINONIMOS VALUES("congênito", "neonatal");
INSERT INTO SINONIMOS VALUES("vírus de inclusão citomegálica", "cmv");
INSERT INTO SINONIMOS VALUES("avião", "plano");
INSERT INTO SINONIMOS VALUES("com polineuropatia", "Neuropatia da SIDA");
INSERT INTO SINONIMOS VALUES("pseudoscarlatina", "doença do duque");
INSERT INTO SINONIMOS VALUES("doença intestinal não especificada", "diarréia");
INSERT INTO SINONIMOS VALUES("aviária", "passarinhos");
INSERT INTO SINONIMOS VALUES("babesia bovis", "febre do carrapato");
INSERT INTO SINONIMOS VALUES("infecção por hematóbio", "haematobia");
INSERT INTO SINONIMOS VALUES("infecção elaeophora schneideri", "dor de cabeça");
INSERT INTO SINONIMOS VALUES("anoplura", "piolhos");
INSERT INTO SINONIMOS VALUES("infestação de tunga penetrans", "jiggers");
INSERT INTO SINONIMOS VALUES("infestação notoedres", "cabeça sarna");
INSERT INTO SINONIMOS VALUES("tumor venéreo canino transmissível", "granuloma infeccioso");
INSERT INTO SINONIMOS VALUES("gastroenterite infecciosa", "gripe estomacal");
INSERT INTO SINONIMOS VALUES("morte", "mortal");
INSERT INTO SINONIMOS VALUES("morte do excesso de trabalho", "karoshi");
INSERT INTO SINONIMOS VALUES("tentativa de suicídio meios inadequados", "parasuicide");
INSERT INTO SINONIMOS VALUES("exaustão extrema", "prostração");
INSERT INTO SINONIMOS VALUES("apirexial", "afebril");
INSERT INTO SINONIMOS VALUES("instável", "instabilidade");
INSERT INTO SINONIMOS VALUES("inspirador", "laringe");
INSERT INTO SINONIMOS VALUES("cheiro", "odor");
INSERT INTO SINONIMOS VALUES("cruzado", "consensual");
INSERT INTO SINONIMOS VALUES("alojamento visual problemático", "dificuldade em se concentrar");
INSERT INTO SINONIMOS VALUES("conversa incapaz", "mudo");
INSERT INTO SINONIMOS VALUES("mau", "pobre");
INSERT INTO SINONIMOS VALUES("#NOME?", "plastia");
INSERT INTO SINONIMOS VALUES("cocolocostomia", "colocecostomia");
INSERT INTO SINONIMOS VALUES("amostra de sêmen", "esperma");
INSERT INTO SINONIMOS VALUES("painel renal", "perfil renal");
INSERT INTO SINONIMOS VALUES("tecido subcutâneo", "hipoderme");
INSERT INTO SINONIMOS VALUES("neuroepitelial sarcoma-primitivo", "Ewing");
INSERT INTO SINONIMOS VALUES("avaliação de anormalidade", "estudos");
INSERT INTO SINONIMOS VALUES("microglioma", "linfoma primário do cns");
INSERT INTO SINONIMOS VALUES("condrodisplasia punctata tipo dominante ligada ao X", "síndrome de conradi hunermann");
INSERT INTO SINONIMOS VALUES("macio branco-parafina", "petrolato branco");
INSERT INTO SINONIMOS VALUES("plantago", "psyllium");
INSERT INTO SINONIMOS VALUES("experimentação humana terapêutica", "pesquisa de tratamento");
INSERT INTO SINONIMOS VALUES("torta de mamona", "ixodes ricinus");
INSERT INTO SINONIMOS VALUES("tiquetaque de pernas pretas", "ixodes scapularis");
INSERT INTO SINONIMOS VALUES("trinucleotídeo", "trigêmeo");
INSERT INTO SINONIMOS VALUES("hl-60", "hl60");
INSERT INTO SINONIMOS VALUES("persa", "guerra");
INSERT INTO SINONIMOS VALUES("espectrometria massa matriz assistida por laser desorção-ionização", "maldi");
INSERT INTO SINONIMOS VALUES("pimagedine", "aminoguanidina");
INSERT INTO SINONIMOS VALUES("diantalvic", "di-antálvico");
INSERT INTO SINONIMOS VALUES("antx-a", "anatoxina-a");
INSERT INTO SINONIMOS VALUES("d-glucitol 6-o-alfa-d-glucopiranosil misturado com 1-o-alfa-d-glucopiranosil-d-manitol", "isomalte");
INSERT INTO SINONIMOS VALUES("Proteína 2 relacionada ao receptor de ldl", "megalina");
INSERT INTO SINONIMOS VALUES("cisplatina / metotrexato / vinblastina", "Protocolo de quimioterapia de CMV");
INSERT INTO SINONIMOS VALUES("12-bisetano", "babie");
INSERT INTO SINONIMOS VALUES("rac-pk alpha", "proteína quinase b");
INSERT INTO SINONIMOS VALUES("fluphenacur", "lufenuron");
INSERT INTO SINONIMOS VALUES("enzima de clivagem de aminoácidos básicos emparelhados", "furin");
INSERT INTO SINONIMOS VALUES("Isis 2302", "alicaforsen");
INSERT INTO SINONIMOS VALUES("copolímero 1", "acetato de glatiramer");
INSERT INTO SINONIMOS VALUES("frpb", "feta");
INSERT INTO SINONIMOS VALUES("sulfeto de metilfenilo", "tioanisole");
INSERT INTO SINONIMOS VALUES("tar1 proteína colocasia esculenta", "Tarin");
INSERT INTO SINONIMOS VALUES("receptor de proteína morfogenética óssea tipo ii", "bmpr2");
INSERT INTO SINONIMOS VALUES("receptor de encaixe", "laço");
INSERT INTO SINONIMOS VALUES("gamboge", "cambogia");
INSERT INTO SINONIMOS VALUES("colóide", "precipitado");
INSERT INTO SINONIMOS VALUES("enxofre", "enxofre");
INSERT INTO SINONIMOS VALUES("resíduo", "fibra");
INSERT INTO SINONIMOS VALUES("bebida alcoólica destilada", "licor");
INSERT INTO SINONIMOS VALUES("alteração macromolecular", "alteração conformacional");
INSERT INTO SINONIMOS VALUES("imunidade mediada por células", "hipersensibilidade retardada");
INSERT INTO SINONIMOS VALUES("sensibilidade de autoeritrócito", "síndrome do diamante-Gardner");
INSERT INTO SINONIMOS VALUES("aceitação do enxerto", "enxerto");
INSERT INTO SINONIMOS VALUES("retenção de muco", "impactação mucoide");
INSERT INTO SINONIMOS VALUES("comedone fechado", "whiteheads");
INSERT INTO SINONIMOS VALUES("eritrofagocitose", "hemofagocitose");
INSERT INTO SINONIMOS VALUES("alcalóide animal", "ptomaine");
INSERT INTO SINONIMOS VALUES("citrato de sódio ácido cítrico", "solução de shohl");
INSERT INTO SINONIMOS VALUES("2-etilhexil", "octilo");
INSERT INTO SINONIMOS VALUES("pseudolinfoma cutâneo", "linfocitoma cutis");
INSERT INTO SINONIMOS VALUES("insuficiência vascular", "síndrome arterial");
INSERT INTO SINONIMOS VALUES("infestação de ácaros da colheita", "chiggers");
INSERT INTO SINONIMOS VALUES("claudicação", "claudicação");
INSERT INTO SINONIMOS VALUES("aumento da lactação", "hiperlactação");
INSERT INTO SINONIMOS VALUES("personalidade", "emocional");
INSERT INTO SINONIMOS VALUES("imunológico", "memória");
INSERT INTO SINONIMOS VALUES("função hemostática", "coagulação sanguínea");
INSERT INTO SINONIMOS VALUES("unidade de formação de colônias do baço", "cfu-s");
INSERT INTO SINONIMOS VALUES("bacilo", "haste negativa");
INSERT INTO SINONIMOS VALUES("achromobacter", "alcaligenes");
INSERT INTO SINONIMOS VALUES("pumilus", "mesentericus");
INSERT INTO SINONIMOS VALUES("pseudomonas", "chryseomonas");
INSERT INTO SINONIMOS VALUES("pantoea", "enterobacter");
INSERT INTO SINONIMOS VALUES("enterococcus", "estreptococo");
INSERT INTO SINONIMOS VALUES("micrococo", "kurúria");
INSERT INTO SINONIMOS VALUES("bucal", "orale tipo 2");
INSERT INTO SINONIMOS VALUES("estreptococo", "gemella");
INSERT INTO SINONIMOS VALUES("gama hemolítico", "não hemolítico");
INSERT INTO SINONIMOS VALUES("arrhizus", "oryzae");
INSERT INTO SINONIMOS VALUES("stolonifer", "nigricans");
INSERT INTO SINONIMOS VALUES("hansenula", "pichia");
INSERT INTO SINONIMOS VALUES("psilocibo cubensis", "cogumelo Mágico");
INSERT INTO SINONIMOS VALUES("frondosa grifola", "maitake");
INSERT INTO SINONIMOS VALUES("caloscypha fulgens", "casca de laranja");
INSERT INTO SINONIMOS VALUES("uredinales", "fungo da ferrugem");
INSERT INTO SINONIMOS VALUES("alternata", "tenuis");
INSERT INTO SINONIMOS VALUES("alternans", "Chartarum");
INSERT INTO SINONIMOS VALUES("epicoccum", "cerebelo");
INSERT INTO SINONIMOS VALUES("lamprocapnos spectabilis", "coração sangrando");
INSERT INTO SINONIMOS VALUES("sanguinaria canadensis", "bloodroot");
INSERT INTO SINONIMOS VALUES("lupulus do humulus", "planta de lúpulo");
INSERT INTO SINONIMOS VALUES("Urtica", "urtiga");
INSERT INTO SINONIMOS VALUES("euphorbia pulcherrima", "poinsétia");
INSERT INTO SINONIMOS VALUES("aleurites", "árvore tung");
INSERT INTO SINONIMOS VALUES("buxus", "buxo");
INSERT INTO SINONIMOS VALUES("buxus sempervirens", "buxo");
INSERT INTO SINONIMOS VALUES("Prunus cerasus", "cerejeira azeda");
INSERT INTO SINONIMOS VALUES("Prunus Persica", "pêssego");
INSERT INTO SINONIMOS VALUES("prunus domestica", "ameixeira");
INSERT INTO SINONIMOS VALUES("pyrus communis", "pereira");
INSERT INTO SINONIMOS VALUES("sorbus", "Rowan");
INSERT INTO SINONIMOS VALUES("cotonete de cotilédone", "pennywort");
INSERT INTO SINONIMOS VALUES("planta de feijão", "abrus");
INSERT INTO SINONIMOS VALUES("cassia acutifolia", "senna");
INSERT INTO SINONIMOS VALUES("senna alexandrina", "cassia angustifolia");
INSERT INTO SINONIMOS VALUES("lathyrus odoratus", "ervilha doce");
INSERT INTO SINONIMOS VALUES("sarothamnus scoparius", "vassoura escocesa");
INSERT INTO SINONIMOS VALUES("anagiróides laburno", "corrente de ouro");
INSERT INTO SINONIMOS VALUES("trifolium pratense", "trevo vermelho");
INSERT INTO SINONIMOS VALUES("vicia faba", "feijão fava");
INSERT INTO SINONIMOS VALUES("vicia sativa", "tara");
INSERT INTO SINONIMOS VALUES("prosopis", "mesquite");
INSERT INTO SINONIMOS VALUES("prosopis juliflora", "mesquite");
INSERT INTO SINONIMOS VALUES("karanja", "pongamia");
INSERT INTO SINONIMOS VALUES("leucaena leucocephala", "cassie");
INSERT INTO SINONIMOS VALUES("banisteriopsis", "ayahuasca");
INSERT INTO SINONIMOS VALUES("citrus aurantium", "laranja amarga");
INSERT INTO SINONIMOS VALUES("ruta", "rue plant");
INSERT INTO SINONIMOS VALUES("ruta graveolens", "arruda comum");
INSERT INTO SINONIMOS VALUES("anacardium occidentale", "caju");
INSERT INTO SINONIMOS VALUES("juglans", "noz");
INSERT INTO SINONIMOS VALUES("juglans nigra", "noz preta");
INSERT INTO SINONIMOS VALUES("juglans cinerea", "butternut");
INSERT INTO SINONIMOS VALUES("paullinia pinnata", "barbasco");
INSERT INTO SINONIMOS VALUES("Acer", "bordo");
INSERT INTO SINONIMOS VALUES("Aesculus hippocastanum", "castanha");
INSERT INTO SINONIMOS VALUES("ligustrum vulgare", "planta de privet europeu");
INSERT INTO SINONIMOS VALUES("parthenocissus quinquefolia", "woodbine");
INSERT INTO SINONIMOS VALUES("aralia", "nardo");
INSERT INTO SINONIMOS VALUES("cicuta", "cicuta de água");
INSERT INTO SINONIMOS VALUES("sambucus", "elderberries");
INSERT INTO SINONIMOS VALUES("rauvolfia", "rauwolfia");
INSERT INTO SINONIMOS VALUES("vinca", "pervinca");
INSERT INTO SINONIMOS VALUES("catharanthus roseus", "pervinca");
INSERT INTO SINONIMOS VALUES("datura suaveolens", "trombeta de anjo");
INSERT INTO SINONIMOS VALUES("lycium", "wolfberry");
INSERT INTO SINONIMOS VALUES("halimifolium de lycium", "videira de matrimônio");
INSERT INTO SINONIMOS VALUES("solanum", "pretinha");
INSERT INTO SINONIMOS VALUES("solanum carolinense", "urtiga de cavalo");
INSERT INTO SINONIMOS VALUES("Solanum nigrum", "pretinha preta");
INSERT INTO SINONIMOS VALUES("solanum pseudo-capsicum", "cereja jerusalem");
INSERT INTO SINONIMOS VALUES("Solanum Dulcamara", "pretinha mortal");
INSERT INTO SINONIMOS VALUES("ipomoea asariflora", "salsa");
INSERT INTO SINONIMOS VALUES("ipomoea batatas", "batata doce");
INSERT INTO SINONIMOS VALUES("ipomoea muelleri", "Glória da manhã");
INSERT INTO SINONIMOS VALUES("nepeta", "catnip");
INSERT INTO SINONIMOS VALUES("artemísia", "absinto");
INSERT INTO SINONIMOS VALUES("perfoliatum eupatorium", "conjunto de bones");
INSERT INTO SINONIMOS VALUES("tanaceto", "tansy");
INSERT INTO SINONIMOS VALUES("tanacetum vulgare", "tansy");
INSERT INTO SINONIMOS VALUES("solidago", "goldenrod");
INSERT INTO SINONIMOS VALUES("ambrosia", "ragweed");
INSERT INTO SINONIMOS VALUES("maculatum", "lírio");
INSERT INTO SINONIMOS VALUES("colocasia esculenta", "planta de orelha de elefante");
INSERT INTO SINONIMOS VALUES("typha", "taboa");
INSERT INTO SINONIMOS VALUES("areca catechu", "noz de betel");
INSERT INTO SINONIMOS VALUES("cynodon dactylon", "sofá grama");
INSERT INTO SINONIMOS VALUES("lolium temulentum", "joio");
INSERT INTO SINONIMOS VALUES("sorgo vulgare", "milo");
INSERT INTO SINONIMOS VALUES("convallaria majalis", "vale do lírio");
INSERT INTO SINONIMOS VALUES("lachnanthes tinctoria", "raiz vermelha");
INSERT INTO SINONIMOS VALUES("narciso", "narciso");
INSERT INTO SINONIMOS VALUES("narciso pseudonarcissus", "narciso");
INSERT INTO SINONIMOS VALUES("polygonatum", "selo de salomão");
INSERT INTO SINONIMOS VALUES("equiseto", "cavalinha");
INSERT INTO SINONIMOS VALUES("equisetum arvense", "cavalinha");
INSERT INTO SINONIMOS VALUES("trimontalmente", "trimestral");
INSERT INTO SINONIMOS VALUES("perturbação", "interrupção");
INSERT INTO SINONIMOS VALUES("erupção cutânea", "erupção cutânea");
INSERT INTO SINONIMOS VALUES("forma anormal", "distorção");
INSERT INTO SINONIMOS VALUES("forma dividida", "bipartido");
INSERT INTO SINONIMOS VALUES("forma esférica", "globular");
INSERT INTO SINONIMOS VALUES("aumento da translucidez", "rarefação");
INSERT INTO SINONIMOS VALUES("lividez", "livedo");
INSERT INTO SINONIMOS VALUES("colijoides cushingóides", "face da Lua");
INSERT INTO SINONIMOS VALUES("térmico", "calor");
INSERT INTO SINONIMOS VALUES("incompleto", "greenstick");
INSERT INTO SINONIMOS VALUES("luxação completa", "luxação");
INSERT INTO SINONIMOS VALUES("fibroso", "espúrio");
INSERT INTO SINONIMOS VALUES("ferida", "incisão");
INSERT INTO SINONIMOS VALUES("enxertos homólogos", "órgão de tecido transplantado");
INSERT INTO SINONIMOS VALUES("operativo", "cirúrgico");
INSERT INTO SINONIMOS VALUES("perfuração", "buraco");
INSERT INTO SINONIMOS VALUES("deslocamento posterior", "retroflexão");
INSERT INTO SINONIMOS VALUES("mudança", "posição de mudanças anormais");
INSERT INTO SINONIMOS VALUES("perfurado", "rompido");
INSERT INTO SINONIMOS VALUES("fundida", "inspecionado");
INSERT INTO SINONIMOS VALUES("comedo de folículo aberto", "cravos");
INSERT INTO SINONIMOS VALUES("feto fechado comedo", "cabeça branca");
INSERT INTO SINONIMOS VALUES("retenção de gás", "pneumatose");
INSERT INTO SINONIMOS VALUES("cisto de ar", "pneumatocele");
INSERT INTO SINONIMOS VALUES("constrição", "passagem do canal de estreitamento anormal");
INSERT INTO SINONIMOS VALUES("passiva", "venoso");
INSERT INTO SINONIMOS VALUES("Castanho", "musculoso");
INSERT INTO SINONIMOS VALUES("descarga de muco", "catarro");
INSERT INTO SINONIMOS VALUES("indolente", "crônica");
INSERT INTO SINONIMOS VALUES("crônica", "frio");
INSERT INTO SINONIMOS VALUES("efeito citopático", "degeneração celular");
INSERT INTO SINONIMOS VALUES("venofibrose", "flebosclerose");
INSERT INTO SINONIMOS VALUES("depleção", "forma física anormal");
INSERT INTO SINONIMOS VALUES("mosaicismo celular", "quimerismo");
INSERT INTO SINONIMOS VALUES("reação de mancha", "grânulos");
INSERT INTO SINONIMOS VALUES("crescimento", "maturação");
INSERT INTO SINONIMOS VALUES("metaplástico", "hiperplástico");
INSERT INTO SINONIMOS VALUES("glandular", "adenomatoso");
INSERT INTO SINONIMOS VALUES("fristodermia", "hiperceratose folicular");
INSERT INTO SINONIMOS VALUES("metaplasia óssea", "osteose");
INSERT INTO SINONIMOS VALUES("defeito metafisário", "não-ossificante");
INSERT INTO SINONIMOS VALUES("arborização da mucosa cervical", "fernando");
INSERT INTO SINONIMOS VALUES("pseudo-sarcomatoso", "sarcomatóide");
INSERT INTO SINONIMOS VALUES("lipoadenoma", "adenolipoma");
INSERT INTO SINONIMOS VALUES("adenoma do apêndice da pele", "tumor adnexal");
INSERT INTO SINONIMOS VALUES("cystadenoma", "hidrocistoma");
INSERT INTO SINONIMOS VALUES("hidradenoma", "hidradenoma");
INSERT INTO SINONIMOS VALUES("não infiltrante", "situ");
INSERT INTO SINONIMOS VALUES("nevo magnocelular", "melanocitoma");
